Unnamed: 0,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,y
0,56.0,housemaid,married,basic.4y,no,no,no,telephone,may,mon,261.0,1,999,0,nonexistent,no
1,57.0,services,married,high.school,unknown,no,no,telephone,may,mon,149.0,1,999,0,nonexistent,no
2,37.0,,married,high.school,no,yes,no,telephone,may,mon,226.0,1,999,0,nonexistent,no
3,40.0,admin.,married,basic.6y,no,no,no,telephone,may,mon,151.0,1,999,0,nonexistent,no
4,56.0,services,married,high.school,no,no,yes,telephone,may,mon,307.0,1,999,0,nonexistent,no
5,45.0,services,married,basic.9y,unknown,no,no,telephone,may,mon,198.0,1,999,0,nonexistent,no
6,59.0,admin.,married,professional.course,no,no,no,telephone,may,mon,139.0,1,999,0,nonexistent,no
7,41.0,blue-collar,married,unknown,unknown,no,no,telephone,may,mon,217.0,1,999,0,nonexistent,no
8,24.0,technician,single,professional.course,no,yes,no,telephone,may,mon,380.0,1,999,0,nonexistent,no
9,25.0,services,single,high.school,no,yes,no,telephone,may,mon,50.0,1,999,0,nonexistent,no
10,41.0,blue-collar,married,unknown,unknown,no,no,telephone,may,mon,55.0,1,999,0,nonexistent,no
11,25.0,services,single,high.school,no,yes,no,telephone,may,mon,222.0,1,999,0,nonexistent,no
12,29.0,blue-collar,single,high.school,no,no,yes,telephone,may,mon,137.0,1,999,0,nonexistent,no
13,57.0,housemaid,divorced,basic.4y,no,yes,no,telephone,may,mon,293.0,1,999,0,nonexistent,no
14,35.0,blue-collar,married,basic.6y,no,yes,no,telephone,may,mon,146.0,1,999,0,nonexistent,no
15,54.0,retired,married,basic.9y,unknown,yes,yes,telephone,may,mon,174.0,1,999,0,nonexistent,no
16,35.0,blue-collar,married,basic.6y,no,yes,no,telephone,may,mon,312.0,1,999,0,nonexistent,no
17,46.0,blue-collar,married,basic.6y,unknown,yes,yes,telephone,may,mon,440.0,1,999,0,nonexistent,no
18,50.0,blue-collar,married,basic.9y,no,yes,yes,telephone,may,mon,353.0,1,999,0,nonexistent,no
19,39.0,management,single,basic.9y,unknown,no,no,telephone,may,mon,195.0,1,999,0,nonexistent,no
20,30.0,unemployed,married,high.school,no,no,no,telephone,may,mon,38.0,1,999,0,nonexistent,no
21,55.0,blue-collar,married,basic.4y,unknown,yes,no,telephone,may,mon,262.0,1,999,0,nonexistent,no
22,55.0,retired,single,high.school,no,yes,no,telephone,may,mon,342.0,1,999,0,nonexistent,no
23,41.0,technician,single,high.school,no,yes,no,telephone,may,mon,181.0,1,999,0,nonexistent,no
24,37.0,admin.,married,high.school,no,yes,no,telephone,may,mon,172.0,1,999,0,nonexistent,no
25,35.0,technician,married,university.degree,no,no,yes,telephone,may,mon,99.0,1,999,0,nonexistent,no
